[09-Oct-2021 19:02:10] ERROR: [pool www] cannot get uid for user 'zonkdev'
[09-Oct-2021 19:02:10] ERROR: [pool www] cannot get uid for user 'zonkdev'
[09-Oct-2021 19:02:10] ERROR: FPM initialization failed
[09-Oct-2021 19:02:10] ERROR: FPM initialization failed
[09-Oct-2021 19:02:11] ERROR: [pool www] cannot get uid for user 'zonkdev'
[09-Oct-2021 19:02:11] ERROR: [pool www] cannot get uid for user 'zonkdev'
[09-Oct-2021 19:02:11] ERROR: FPM initialization failed
[09-Oct-2021 19:02:11] ERROR: FPM initialization failed
[09-Oct-2021 19:02:13] ERROR: [pool www] cannot get uid for user 'zonkdev'
[09-Oct-2021 19:02:13] ERROR: [pool www] cannot get uid for user 'zonkdev'
[09-Oct-2021 19:02:13] ERROR: FPM initialization failed
[09-Oct-2021 19:02:13] ERROR: FPM initialization failed
[09-Oct-2021 19:02:16] ERROR: [pool www] cannot get uid for user 'zonkdev'
[09-Oct-2021 19:02:16] ERROR: [pool www] cannot get uid for user 'zonkdev'
[09-Oct-2021 19:02:16] ERROR: FPM initialization failed
[09-Oct-2021 19:02:16] ERROR: FPM initialization failed
[09-Oct-2021 19:07:48] ERROR: [pool www] cannot get uid for user 'zonkdev'
[09-Oct-2021 19:07:48] ERROR: [pool www] cannot get uid for user 'zonkdev'
[09-Oct-2021 19:07:48] ERROR: FPM initialization failed
[09-Oct-2021 19:07:48] ERROR: FPM initialization failed
[09-Oct-2021 19:07:49] ERROR: [pool www] cannot get uid for user 'zonkdev'
[09-Oct-2021 19:07:49] ERROR: [pool www] cannot get uid for user 'zonkdev'
[09-Oct-2021 19:07:49] ERROR: FPM initialization failed
[09-Oct-2021 19:07:49] ERROR: FPM initialization failed
[09-Oct-2021 19:07:51] ERROR: [pool www] cannot get uid for user 'zonkdev'
[09-Oct-2021 19:07:51] ERROR: [pool www] cannot get uid for user 'zonkdev'
[09-Oct-2021 19:07:51] ERROR: FPM initialization failed
[09-Oct-2021 19:07:51] ERROR: FPM initialization failed
[09-Oct-2021 19:07:55] ERROR: [pool www] cannot get uid for user 'zonkdev'
[09-Oct-2021 19:07:55] ERROR: [pool www] cannot get uid for user 'zonkdev'
[09-Oct-2021 19:07:55] ERROR: FPM initialization failed
[09-Oct-2021 19:07:55] ERROR: FPM initialization failed
[09-Oct-2021 19:10:56] ERROR: [pool www] cannot get uid for user 'zonkdev'
[09-Oct-2021 19:10:56] ERROR: [pool www] cannot get uid for user 'zonkdev'
[09-Oct-2021 19:10:56] ERROR: FPM initialization failed
[09-Oct-2021 19:10:56] ERROR: FPM initialization failed
[09-Oct-2021 19:10:57] ERROR: [pool www] cannot get uid for user 'zonkdev'
[09-Oct-2021 19:10:57] ERROR: [pool www] cannot get uid for user 'zonkdev'
[09-Oct-2021 19:10:57] ERROR: FPM initialization failed
[09-Oct-2021 19:10:57] ERROR: FPM initialization failed
[09-Oct-2021 19:10:59] ERROR: [pool www] cannot get uid for user 'zonkdev'
[09-Oct-2021 19:10:59] ERROR: [pool www] cannot get uid for user 'zonkdev'
[09-Oct-2021 19:10:59] ERROR: FPM initialization failed
[09-Oct-2021 19:10:59] ERROR: FPM initialization failed
[09-Oct-2021 19:11:02] ERROR: [pool www] cannot get uid for user 'zonkdev'
[09-Oct-2021 19:11:02] ERROR: [pool www] cannot get uid for user 'zonkdev'
[09-Oct-2021 19:11:02] ERROR: FPM initialization failed
[09-Oct-2021 19:11:02] ERROR: FPM initialization failed
[09-Oct-2021 19:12:30] ERROR: [pool www] cannot get uid for user 'zonkdev'
[09-Oct-2021 19:12:30] ERROR: [pool www] cannot get uid for user 'zonkdev'
[09-Oct-2021 19:12:30] ERROR: FPM initialization failed
[09-Oct-2021 19:12:30] ERROR: FPM initialization failed
[09-Oct-2021 19:12:31] ERROR: [pool www] cannot get uid for user 'zonkdev'
[09-Oct-2021 19:12:31] ERROR: [pool www] cannot get uid for user 'zonkdev'
[09-Oct-2021 19:12:31] ERROR: FPM initialization failed
[09-Oct-2021 19:12:31] ERROR: FPM initialization failed
[09-Oct-2021 19:12:33] ERROR: [pool www] cannot get uid for user 'zonkdev'
[09-Oct-2021 19:12:33] ERROR: [pool www] cannot get uid for user 'zonkdev'
[09-Oct-2021 19:12:33] ERROR: FPM initialization failed
[09-Oct-2021 19:12:33] ERROR: FPM initialization failed
[09-Oct-2021 19:12:36] ERROR: [pool www] cannot get uid for user 'zonkdev'
[09-Oct-2021 19:12:36] ERROR: [pool www] cannot get uid for user 'zonkdev'
[09-Oct-2021 19:12:36] ERROR: FPM initialization failed
[09-Oct-2021 19:12:36] ERROR: FPM initialization failed
[09-Oct-2021 19:14:44] ERROR: [pool www] cannot get uid for user 'zonkdev'
[09-Oct-2021 19:14:44] ERROR: [pool www] cannot get uid for user 'zonkdev'
[09-Oct-2021 19:14:44] ERROR: FPM initialization failed
[09-Oct-2021 19:14:44] ERROR: FPM initialization failed
[09-Oct-2021 19:14:45] ERROR: [pool www] cannot get uid for user 'zonkdev'
[09-Oct-2021 19:14:45] ERROR: [pool www] cannot get uid for user 'zonkdev'
[09-Oct-2021 19:14:45] ERROR: FPM initialization failed
[09-Oct-2021 19:14:45] ERROR: FPM initialization failed
[09-Oct-2021 19:14:47] ERROR: [pool www] cannot get uid for user 'zonkdev'
[09-Oct-2021 19:14:47] ERROR: [pool www] cannot get uid for user 'zonkdev'
[09-Oct-2021 19:14:47] ERROR: FPM initialization failed
[09-Oct-2021 19:14:47] ERROR: FPM initialization failed
[09-Oct-2021 19:14:50] ERROR: [pool www] cannot get uid for user 'zonkdev'
[09-Oct-2021 19:14:50] ERROR: [pool www] cannot get uid for user 'zonkdev'
[09-Oct-2021 19:14:50] ERROR: FPM initialization failed
[09-Oct-2021 19:14:50] ERROR: FPM initialization failed
[09-Oct-2021 19:19:06] NOTICE: fpm is running, pid 9
[09-Oct-2021 19:19:06] NOTICE: ready to handle connections
192.168.160.3 -  09/Oct/2021:19:19:29 +0000 "GET /index.php" 200
192.168.160.3 -  09/Oct/2021:19:19:31 +0000 "GET /index.php" 200
192.168.160.3 -  09/Oct/2021:19:19:33 +0000 "GET /index.php" 200
192.168.160.3 -  09/Oct/2021:19:21:19 +0000 "GET /index.php" 200
192.168.160.3 -  09/Oct/2021:19:21:19 +0000 "GET /index.php" 200
192.168.160.3 -  09/Oct/2021:19:21:19 +0000 "GET /js.php" 200
192.168.160.3 -  09/Oct/2021:19:21:19 +0000 "GET /js.php" 200
192.168.160.3 -  09/Oct/2021:19:21:19 +0000 "GET /js.php" 200
192.168.160.3 -  09/Oct/2021:19:21:19 +0000 "GET /js.php" 200
192.168.160.3 -  09/Oct/2021:19:21:19 +0000 "GET /js.php" 200
192.168.160.3 -  09/Oct/2021:19:21:19 +0000 "GET /js.php" 200
192.168.160.3 -  09/Oct/2021:19:21:19 +0000 "GET /js.php" 200
192.168.160.3 -  09/Oct/2021:19:21:19 +0000 "GET /js.php" 200
192.168.160.3 -  09/Oct/2021:19:21:20 +0000 "GET /xml.php" 200
192.168.160.3 -  09/Oct/2021:19:21:21 +0000 "GET /language/language.php" 200
192.168.160.3 -  09/Oct/2021:19:22:21 +0000 "GET /xml.php" 200
192.168.160.3 -  09/Oct/2021:19:23:22 +0000 "GET /xml.php" 200
192.168.160.3 -  09/Oct/2021:19:24:45 +0000 "GET /xml.php" 200
192.168.160.3 -  09/Oct/2021:19:25:33 +0000 "GET /xml.php" 200
192.168.160.3 -  09/Oct/2021:19:26:07 +0000 "GET /index.php" 200
192.168.160.3 -  09/Oct/2021:19:26:07 +0000 "GET /js.php" 200
192.168.160.3 -  09/Oct/2021:19:26:07 +0000 "GET /js.php" 200
192.168.160.3 -  09/Oct/2021:19:26:08 +0000 "GET /js.php" 200
192.168.160.3 -  09/Oct/2021:19:26:08 +0000 "GET /js.php" 200
192.168.160.3 -  09/Oct/2021:19:26:07 +0000 "GET /js.php" 200
192.168.160.3 -  09/Oct/2021:19:26:08 +0000 "GET /js.php" 200
192.168.160.3 -  09/Oct/2021:19:26:08 +0000 "GET /js.php" 200
192.168.160.3 -  09/Oct/2021:19:26:08 +0000 "GET /js.php" 200
192.168.160.3 -  09/Oct/2021:19:26:08 +0000 "GET /xml.php" 200
192.168.160.3 -  09/Oct/2021:19:26:09 +0000 "GET /language/language.php" 200
192.168.160.3 -  09/Oct/2021:19:27:10 +0000 "GET /xml.php" 200
192.168.160.3 -  09/Oct/2021:19:28:16 +0000 "GET /xml.php" 200
192.168.160.3 -  09/Oct/2021:19:29:09 +0000 "GET /xml.php" 200
192.168.160.3 -  09/Oct/2021:19:29:51 +0000 "GET /index.php" 200
192.168.160.3 -  09/Oct/2021:19:29:51 +0000 "GET /js.php" 200
192.168.160.3 -  09/Oct/2021:19:29:51 +0000 "GET /js.php" 200
192.168.160.3 -  09/Oct/2021:19:29:51 +0000 "GET /js.php" 200
192.168.160.3 -  09/Oct/2021:19:29:51 +0000 "GET /js.php" 200
192.168.160.3 -  09/Oct/2021:19:29:51 +0000 "GET /js.php" 200
192.168.160.3 -  09/Oct/2021:19:29:51 +0000 "GET /js.php" 200
192.168.160.3 -  09/Oct/2021:19:29:51 +0000 "GET /js.php" 200
192.168.160.3 -  09/Oct/2021:19:29:51 +0000 "GET /js.php" 200
192.168.160.3 -  09/Oct/2021:19:29:51 +0000 "GET /xml.php" 200
192.168.160.3 -  09/Oct/2021:19:29:53 +0000 "GET /language/language.php" 200
192.168.160.3 -  09/Oct/2021:19:30:19 +0000 "GET /index.php" 200
192.168.160.3 -  09/Oct/2021:19:30:19 +0000 "GET /js.php" 200
192.168.160.3 -  09/Oct/2021:19:30:19 +0000 "GET /js.php" 200
192.168.160.3 -  09/Oct/2021:19:30:19 +0000 "GET /js.php" 200
192.168.160.3 -  09/Oct/2021:19:30:19 +0000 "GET /js.php" 200
192.168.160.3 -  09/Oct/2021:19:30:19 +0000 "GET /js.php" 200
192.168.160.3 -  09/Oct/2021:19:30:19 +0000 "GET /js.php" 200
192.168.160.3 -  09/Oct/2021:19:30:19 +0000 "GET /js.php" 200
192.168.160.3 -  09/Oct/2021:19:30:19 +0000 "GET /js.php" 200
192.168.160.3 -  09/Oct/2021:19:30:19 +0000 "GET /xml.php" 200
192.168.160.3 -  09/Oct/2021:19:30:20 +0000 "GET /language/language.php" 200
192.168.160.3 -  09/Oct/2021:19:31:21 +0000 "GET /xml.php" 200
192.168.160.3 -  09/Oct/2021:19:32:20 +0000 "GET /xml.php" 200
192.168.160.3 -  09/Oct/2021:19:32:33 +0000 "GET /index.php" 200
192.168.160.3 -  09/Oct/2021:19:32:33 +0000 "GET /js.php" 200
192.168.160.3 -  09/Oct/2021:19:32:33 +0000 "GET /js.php" 200
192.168.160.3 -  09/Oct/2021:19:32:33 +0000 "GET /js.php" 200
192.168.160.3 -  09/Oct/2021:19:32:33 +0000 "GET /js.php" 200
192.168.160.3 -  09/Oct/2021:19:32:33 +0000 "GET /js.php" 200
192.168.160.3 -  09/Oct/2021:19:32:33 +0000 "GET /js.php" 200
192.168.160.3 -  09/Oct/2021:19:32:33 +0000 "GET /js.php" 200
192.168.160.3 -  09/Oct/2021:19:32:33 +0000 "GET /js.php" 200
192.168.160.3 -  09/Oct/2021:19:32:33 +0000 "GET /js.php" 200
192.168.160.3 -  09/Oct/2021:19:32:33 +0000 "GET /js.php" 200
192.168.160.3 -  09/Oct/2021:19:32:33 +0000 "GET /js.php" 200
192.168.160.3 -  09/Oct/2021:19:32:33 +0000 "GET /js.php" 200
192.168.160.3 -  09/Oct/2021:19:32:33 +0000 "GET /js.php" 200
192.168.160.3 -  09/Oct/2021:19:32:33 +0000 "GET /xml.php" 200
192.168.160.3 -  09/Oct/2021:19:32:33 +0000 "GET /xml.php" 200
